Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
47,No,Non-Travel,334,Sales,3,4,Life Sciences,1,338,4,Male,48,3,2,Sales Executive,4,Single,6511,25259,1,Y,Yes,17,3,4,80,0,3,5,3,2,2,1,1
39,Yes,Travel_Frequently,1413,Research & Development,19,3,Technical Degree,1,339,1,Female,60,3,2,Laboratory Technician,4,Married,6907,21994,1,Y,Yes,15,3,3,80,0,10,2,2,10,3,3,1
46,No,Travel_Rarely,786,Research & Development,5,3,Medical,1,340,2,Female,55,4,1,Laboratory Technician,2,Married,2009,19734,0,Y,No,15,3,2,80,0,4,3,3,2,2,2,1
28,No,Travel_Rarely,285,Research & Development,3,3,Medical,1,341,2,Female,35,2,1,Healthcare Representative,1,Divorced,2053,12447,0,Y,No,20,4,4,80,1,35,6,2,6,0,3,3
41,No,Travel_Rarely,352,Research & Development,6,3,Medical,1,342,2,Female,58,4,3,Manufacturing Director,1,Divorced,8180,15913,0,Y,No,14,3,4,80,0,6,3,3,2,2,0,2
54,No,Travel_Frequently,392,Research & Development,5,5,Technical Degree,1,343,3,Female,46,3,5,Laboratory Technician,3,Married,14712,17041,2,Y,No,14,3,2,80,1,7,1,3,4,1,0,1
36,No,Travel_Rarely,1050,Research & Development,22,4,Medical,1,344,4,Female,49,3,3,Laboratory Technician,4,Single,8113,14965,5,Y,Yes,15,3,2,80,1,13,3,2,2,0,2,2
30,No,Travel_Rarely,899,Research & Development,6,1,Technical Degree,1,345,2,Male,71,3,1,Laboratory Technician,2,Married,1454,21513,1,Y,No,11,3,2,80,0,8,1,3,7,1,4,4
32,No,Travel_Rarely,1484,Research & Development,3,3,Life Sciences,1,346,3,Female,76,3,1,Manager,3,Married,1009,12703,0,Y,No,14,4,4,80,2,5,0,2,4,4,1,4
28,No,Travel_Rarely,725,Research & Development,17,4,Other,1,347,3,Male,99,2,1,Research Scientist,4,Married,1009,9610,3,Y,No,11,3,3,80,1,1,2,2,0,0,0,0
31,Yes,Travel_Rarely,406,Research & Development,29,1,Marketing,1,348,2,Male,31,2,1,Manufacturing Director,4,Single,2610,23764,5,Y,No,13,4,4,80,0,10,2,3,0,0,0,0
34,Yes,Travel_Rarely,451,Research & Development,9,5,Life Sciences,1,349,4,Female,66,3,2,Healthcare Representative,1,Single,4017,12405,0,Y,Yes,18,3,2,80,0,22,4,3,4,1,4,4
25,No,Travel_Rarely,1464,Research & Development,3,5,Medical,1,350,3,Male,48,4,2,Research Scientist,2,Divorced,5292,7049,1,Y,Yes,17,3,4,80,2,13,2,3,1,1,1,1
38,No,Travel_Rarely,580,Research & Development,2,1,Medical,1,351,3,Male,70,3,3,Laboratory Technician,1,Married,6671,12686,0,Y,No,13,3,1,80,1,5,3,1,5,4,1,1
46,No,Travel_Rarely,1117,Sales,1,5,Life Sciences,1,352,4,Female,45,3,3,Sales Executive,4,Single,5913,15416,0,Y,No,15,3,4,80,1,2,0,2,2,1,2,2
29,No,Travel_Frequently,231,Sales,1,3,Medical,1,353,2,Male,89,3,1,Sales Executive,4,Married,1009,13074,3,Y,No,11,3,4,80,0,19,0,3,7,4,0,3
51,No,Travel_Rarely,288,Research & Development,22,4,Life Sciences,1,354,4,Male,86,3,1,Manufacturing Director,3,Divorced,4844,2731,9,Y,No,15,3,2,80,0,31,0,3,21,2,5,1
42,No,Travel_Frequently,771,Research & Development,1,3,Life Sciences,1,355,3,Female,93,3,3,Healthcare Representative,1,Married,8833,2246,3,Y,No,25,3,4,80,1,5,2,4,5,2,0,5
47,No,Non-Travel,336,Research & Development,6,3,Other,1,356,3,Female,34,1,1,Healthcare Representative,2,Single,5096,15567,9,Y,No,22,3,4,80,2,14,2,3,11,2,2,0
32,No,Travel_Rarely,379,Research & Development,11,3,Medical,1,357,4,Male,47,2,1,Laboratory Technician,2,Single,3310,8003,1,Y,No,15,3,4,80,1,6,3,3,6,2,2,5
45,Yes,Travel_Rarely,1227,Research & Development,17,4,Technical Degree,1,358,4,Male,42,4,2,Manager,3,Single,4355,21216,6,Y,Yes,16,3,2,80,0,8,6,3,8,5,3,3
28,No,Travel_Rarely,888,Sales,2,1,Medical,1,359,3,Male,65,4,1,Sales Representative,2,Divorced,4485,17597,1,Y,No,12,3,3,80,0,20,2,3,2,2,2,2
46,No,Travel_Rarely,936,Research & Development,5,3,Life Sciences,1,360,4,Female,48,3,1,Research Scientist,1,Married,2450,2232,0,Y,No,12,3,4,80,0,1,0,3,1,1,0,1
39,No,Travel_Rarely,1357,Research & Development,3,2,Medical,1,361,3,Male,60,3,4,Manager,4,Married,10331,16635,3,Y,No,17,3,4,80,1,8,2,3,8,8,3,8
43,No,Travel_Rarely,375,Research & Development,3,3,Medical,1,362,3,Male,52,3,4,Healthcare Representative,2,Married,9936,8333,1,Y,No,13,3,3,80,0,3,4,3,3,3,1,2
27,No,Travel_Rarely,466,Research & Development,3,3,Other,1,363,1,Male,61,4,1,Healthcare Representative,3,Married,1009,19203,1,Y,Yes,19,3,4,80,1,5,3,3,3,0,1,3
30,No,Travel_Rarely,569,Research & Development,8,3,Life Sciences,1,364,1,Male,40,3,1,Manufacturing Director,1,Divorced,4907,24178,3,Y,Yes,21,3,1,80,1,11,4,3,11,0,11,0
43,No,Travel_Frequently,752,Sales,1,3,Technical Degree,1,365,4,Female,95,3,3,Sales Representative,4,Married,8237,15761,1,Y,No,16,3,4,80,0,0,1,3,0,0,0,0
29,Yes,Travel_Rarely,927,Research & Development,5,2,Other,1,366,1,Male,34,2,1,Healthcare Representative,3,Single,2995,13828,2,Y,Yes,16,3,2,80,1,10,1,3,3,3,3,2
42,No,Travel_Rarely,1399,Sales,2,2,Medical,1,367,1,Female,42,3,2,Sales Executive,4,Single,4907,20843,1,Y,No,11,4,2,80,1,4,1,2,4,1,2,4
25,No,Travel_Rarely,1453,Sales,29,1,Other,1,368,4,Male,93,2,1,Sales Executive,3,Married,2745,16941,4,Y,No,18,3,3,80,0,12,4,3,3,1,3,3
45,No,Travel_Rarely,962,Research & Development,8,3,Life Sciences,1,369,1,Female,64,3,1,Research Director,4,Divorced,1604,2112,1,Y,No,11,3,3,80,2,2,2,3,1,1,1,1
27,No,Travel_Rarely,285,Research & Development,18,5,Other,1,370,2,Female,58,3,3,Laboratory Technician,4,Single,8425,11722,2,Y,Yes,14,3,3,80,1,15,3,3,5,4,2,0
43,No,Travel_Rarely,1019,Research & Development,2,2,Marketing,1,371,3,Male,52,4,3,Research Scientist,3,Divorced,5539,20439,0,Y,No,19,3,3,80,0,11,3,3,6,1,6,6
43,No,Travel_Rarely,1319,Research & Development,15,5,Life Sciences,1,372,3,Male,45,3,1,Research Scientist,4,Married,2779,12740,4,Y,No,19,3,2,80,2,39,3,2,12,9,1,1
31,No,Travel_Rarely,373,Research & Development,5,4,Human Resources,1,373,4,Male,55,3,1,Research Scientist,2,Single,3342,20329,2,Y,No,13,3,1,80,1,27,2,2,4,4,3,0
43,No,Travel_Rarely,1425,Sales,2,3,Medical,1,374,3,Female,32,3,1,Sales Executive,2,Single,2202,9206,1,Y,Yes,14,3,4,80,2,4,3,3,4,2,4,1
40,No,Travel_Rarely,297,Research & Development,13,3,Medical,1,375,3,Male,52,3,1,Manager,1,Single,3056,23999,1,Y,No,13,3,3,80,1,0,0,4,0,0,0,0
33,No,Travel_Rarely,883,Research & Development,13,4,Medical,1,376,4,Female,86,3,5,Laboratory Technician,3,Married,11013,18578,1,Y,Yes,11,3,3,80,0,12,6,3,6,1,1,6
29,Yes,Travel_Frequently,1006,Sales,29,2,Life Sciences,1,377,3,Female,38,2,3,Sales Executive,4,Single,6051,8932,2,Y,No,13,3,3,80,0,10,0,2,2,2,2,1
20,No,Travel_Rarely,432,Research & Development,14,3,Medical,1,378,3,Female,80,4,2,Laboratory Technician,4,Married,5355,16447,2,Y,No,11,3,4,80,1,0,0,4,0,0,0,0
41,No,Non-Travel,721,Sales,1,4,Technical Degree,1,379,4,Female,62,3,3,Manager,1,Married,8518,16558,1,Y,No,18,3,4,80,0,1,2,4,1,0,1,1
24,No,Travel_Frequently,600,Research & Development,4,3,Life Sciences,1,380,3,Male,53,3,4,Healthcare Representative,3,Married,7188,9229,3,Y,No,17,3,1,80,2,10,4,3,2,2,1,2
38,Yes,Travel_Frequently,1225,Research & Development,5,4,Life Sciences,1,381,3,Male,79,4,3,Research Scientist,1,Single,8283,8123,5,Y,Yes,17,3,4,80,0,27,2,3,12,1,0,4
35,No,Travel_Rarely,182,Sales,1,1,Life Sciences,1,382,1,Male,81,4,1,Sales Representative,3,Married,1685,14747,0,Y,No,12,3,4,80,1,26,3,3,2,2,2,2
44,No,Travel_Rarely,962,Research & Development,14,4,Medical,1,383,3,Female,67,3,1,Research Director,1,Married,2211,4603,1,Y,No,11,4,3,80,1,2,0,3,0,0,0,0
35,Yes,Travel_Frequently,1119,Sales,7,3,Marketing,1,384,1,Female,73,4,3,Sales Representative,4,Married,5491,15566,2,Y,Yes,15,3,4,80,1,5,1,4,1,1,1,1
35,No,Travel_Rarely,1142,Sales,26,3,Technical Degree,1,385,3,Female,85,2,2,Manager,2,Divorced,3723,4049,2,Y,No,15,3,3,80,1,0,3,2,0,0,0,0
44,No,Travel_Frequently,1337,Sales,8,3,Other,1,386,4,Male,95,2,5,Sales Executive,2,Single,13949,11940,0,Y,Yes,15,3,3,80,1,7,2,3,2,2,1,2
41,No,Non-Travel,227,Research & Development,7,3,Medical,1,387,3,Male,74,3,3,Manufacturing Director,4,Divorced,7549,9172,1,Y,No,14,3,2,80,0,15,3,3,7,0,2,2
40,No,Travel_Rarely,231,Research & Development,1,4,Life Sciences,1,388,2,Female,81,3,5,Research Scientist,3,Married,11926,9637,0,Y,No,22,4,3,80,0,17,4,4,8,2,4,8
42,No,Travel_Rarely,315,Sales,1,3,Other,1,389,4,Male,30,3,1,Sales Representative,1,Married,2325,23258,2,Y,Yes,17,3,2,80,2,8,4,4,3,3,3,3
24,No,Travel_Rarely,1254,Sales,17,4,Marketing,1,390,2,Male,93,3,4,Sales Representative,3,Married,10734,19388,3,Y,No,22,3,1,80,2,1,1,4,1,1,1,1
44,No,Travel_Frequently,1071,Human Resources,29,3,Medical,1,391,4,Female,37,3,1,Human Resources,1,Married,3161,8257,0,Y,No,20,3,1,80,0,5,3,3,4,4,0,4
43,No,Travel_Frequently,1182,Research & Development,5,2,Marketing,1,392,3,Male,72,3,5,Healthcare Representative,4,Single,12387,14927,1,Y,No,22,3,2,80,0,30,5,3,21,5,0,6
28,No,Travel_Rarely,699,Research & Development,15,1,Other,1,393,1,Male,37,3,1,Laboratory Technician,3,Married,4139,26471,1,Y,No,11,3,3,80,0,3,4,3,3,1,1,3
35,No,Non-Travel,1399,Sales,9,1,Marketing,1,394,4,Male,58,4,2,Sales Executive,2,Married,6456,8809,4,Y,Yes,17,3,3,80,3,4,1,3,1,1,0,1
37,No,Travel_Rarely,716,Research & Development,29,3,Life Sciences,1,395,2,Male,42,3,3,Manager,3,Married,8120,24620,1,Y,No,14,3,2,80,0,15,3,2,3,1,2,3
36,No,Travel_Rarely,1464,Sales,2,3,Marketing,1,396,4,Female,30,3,2,Manager,1,Married,5082,8699,2,Y,No,11,3,4,80,0,15,5,3,8,1,1,1
41,No,Travel_Rarely,1268,Sales,7,4,Life Sciences,1,397,1,Male,58,3,2,Sales Executive,4,Divorced,5986,19659,4,Y,No,21,3,2,80,0,27,2,4,8,3,2,2
50,No,Travel_Rarely,524,Research & Development,5,4,Life Sciences,1,398,2,Male,79,3,5,Laboratory Technician,4,Married,12971,26009,4,Y,No,14,3,3,80,1,5,4,2,5,5,1,5
47,No,Travel_Rarely,435,Sales,7,1,Life Sciences,1,399,2,Male,66,4,2,Sales Executive,4,Single,6591,19082,3,Y,No,11,3,1,80,2,8,3,2,8,0,1,4
26,Yes,Travel_Rarely,789,Sales,3,2,Life Sciences,1,400,1,Female,30,1,2,Sales Representative,2,Married,6349,24327,1,Y,No,14,3,2,80,0,7,1,3,2,0,1,2
43,No,Travel_Rarely,1258,Research & Development,6,2,Life Sciences,1,401,4,Male,98,2,1,Manufacturing Director,2,Married,1009,20848,4,Y,No,12,3,1,80,0,29,1,3,4,4,0,4
50,No,Travel_Rarely,365,Sales,9,3,Life Sciences,1,402,4,Male,77,4,4,Sales Executive,1,Divorced,8371,12296,3,Y,No,13,3,3,80,1,16,0,4,10,8,2,4
41,No,Travel_Frequently,248,Research & Development,1,2,Medical,1,403,4,Male,84,3,3,Research Scientist,3,Married,6448,14421,3,Y,No,14,3,4,80,0,20,2,2,17,4,2,8
47,No,Travel_Rarely,113,Sales,12,2,Technical Degree,1,404,2,Male,95,2,2,Sales Representative,3,Divorced,6464,16381,0,Y,No,22,3,2,80,0,2,4,2,2,2,2,1
56,No,Travel_Rarely,156,Research & Development,11,5,Other,1,405,3,Male,92,2,1,Manufacturing Director,3,Single,1009,15315,0,Y,Yes,13,3,2,80,2,17,3,3,4,4,4,4
47,No,Travel_Rarely,331,Sales,19,4,Life Sciences,1,406,3,Female,51,4,2,Sales Executive,4,Married,5592,18680,3,Y,Yes,21,4,1,80,2,6,3,2,6,5,3,4
40,No,Travel_Rarely,1247,Research & Development,5,2,Medical,1,407,3,Female,40,4,1,Healthcare Representative,1,Divorced,3044,18186,7,Y,No,18,3,4,80,3,0,3,2,0,0,0,0
47,No,Travel_Rarely,962,Research & Development,1,3,Other,1,408,4,Male,58,3,1,Research Scientist,1,Divorced,4244,15964,4,Y,No,17,3,4,80,1,1,2,2,1,1,0,1
39,No,Travel_Rarely,1358,Sales,6,3,Life Sciences,1,409,3,Male,32,3,2,Sales Executive,1,Married,5271,2336,4,Y,No,18,3,1,80,0,12,2,2,12,1,0,1
38,No,Travel_Rarely,263,Research & Development,1,4,Marketing,1,410,1,Female,74,4,1,Healthcare Representative,2,Divorced,1009,24709,2,Y,No,15,3,2,80,1,5,5,2,5,2,4,1
34,Yes,Travel_Rarely,904,Research & Development,9,3,Marketing,1,411,4,Male,32,3,1,Healthcare Representative,1,Single,1061,5834,1,Y,Yes,20,3,4,80,0,22,3,4,2,1,1,2
52,No,Travel_Rarely,280,Sales,1,2,Life Sciences,1,412,4,Female,97,3,3,Manager,3,Divorced,5727,21199,3,Y,No,17,3,3,80,0,15,3,3,3,2,1,3
30,No,Travel_Rarely,1487,Sales,4,4,Technical Degree,1,413,3,Male,43,3,1,Sales Executive,2,Married,1693,24504,3,Y,No,11,3,3,80,0,0,6,3,0,0,0,0
51,No,Travel_Rarely,1333,Research & Development,1,3,Technical Degree,1,414,1,Female,94,4,1,Manufacturing Director,1,Single,2226,10945,3,Y,No,16,3,2,80,3,13,2,4,13,1,0,1
42,No,Travel_Rarely,1006,Research & Development,1,2,Life Sciences,1,415,2,Female,86,3,1,Laboratory Technician,4,Single,1009,10998,7,Y,No,18,3,3,80,1,2,4,3,2,2,2,1
25,No,Non-Travel,653,Research & Development,29,3,Life Sciences,1,416,3,Female,44,2,2,Research Scientist,2,Married,7206,14181,1,Y,No,14,3,4,80,0,6,4,3,6,1,1,0
41,No,Travel_Rarely,827,Research & Development,29,3,Life Sciences,1,417,2,Female,89,3,3,Laboratory Technician,3,Single,5512,11460,0,Y,No,16,3,4,80,0,11,2,3,5,3,1,2
19,Yes,Travel_Frequently,1279,Research & Development,7,3,Life Sciences,1,418,2,Male,83,3,3,Laboratory Technician,2,Married,9519,7313,6,Y,Yes,13,3,4,80,2,23,1,3,0,0,0,0
43,No,Travel_Frequently,1463,Sales,2,2,Medical,1,419,4,Female,31,4,1,Sales Representative,3,Single,4278,26916,0,Y,No,11,3,3,80,2,7,6,4,7,3,2,7
46,Yes,Travel_Rarely,394,Sales,22,3,Medical,1,420,3,Male,93,2,1,Manager,4,Single,3847,19208,3,Y,Yes,11,3,3,80,1,18,2,3,3,2,3,1
32,No,Travel_Rarely,537,Sales,23,1,Life Sciences,1,421,3,Male,57,4,1,Sales Executive,1,Married,1459,20038,5,Y,No,11,3,2,80,0,17,0,4,7,3,1,1
39,No,Travel_Rarely,497,Sales,17,4,Human Resources,1,422,2,Female,96,3,2,Sales Executive,3,Married,5514,10781,1,Y,No,18,3,4,80,1,6,3,3,6,6,3,1
55,No,Travel_Frequently,267,Research & Development,7,2,Life Sciences,1,423,4,Female,32,3,5,Manufacturing Director,4,Married,10584,23886,4,Y,Yes,11,3,4,80,1,8,3,3,5,5,1,2
33,No,Travel_Rarely,1095,Research & Development,1,1,Life Sciences,1,424,2,Female,82,1,1,Laboratory Technician,3,Married,3866,25036,1,Y,No,13,4,3,80,3,13,4,4,13,4,3,7
28,No,Travel_Rarely,885,Research & Development,1,4,Life Sciences,1,425,4,Male,55,3,1,Healthcare Representative,2,Divorced,2389,12948,4,Y,No,12,3,1,80,0,0,5,3,0,0,0,0
51,No,Non-Travel,1058,Research & Development,20,4,Medical,1,426,4,Female,33,3,1,Manufacturing Director,3,Married,1886,4669,0,Y,No,14,4,3,80,1,24,5,4,9,0,8,6
55,Yes,Travel_Rarely,502,Research & Development,19,4,Life Sciences,1,427,4,Female,45,3,2,Healthcare Representative,3,Married,3164,25986,3,Y,Yes,11,3,4,80,0,16,5,1,4,4,1,4
38,Yes,Travel_Frequently,216,Sales,5,3,Life Sciences,1,428,4,Male,83,2,3,Sales Executive,4,Married,3784,3176,3,Y,Yes,17,3,3,80,0,3,0,3,3,3,0,1
47,No,Travel_Rarely,452,Research & Development,4,2,Life Sciences,1,429,3,Male,45,3,3,Research Scientist,1,Single,5942,21231,2,Y,No,11,4,1,80,0,40,3,4,8,4,1,1
50,No,Travel_Rarely,1385,Research & Development,9,4,Technical Degree,1,430,2,Male,60,4,4,Manufacturing Director,1,Single,11669,21436,3,Y,No,19,3,1,80,2,2,2,2,0,0,0,0
31,No,Travel_Rarely,919,Research & Development,15,4,Other,1,431,2,Male,31,3,2,Healthcare Representative,2,Married,4396,10829,6,Y,No,13,4,2,80,0,27,2,4,2,2,0,2
33,No,Travel_Rarely,977,Sales,12,2,Life Sciences,1,432,2,Female,74,3,1,Sales Executive,2,Divorced,2246,13349,3,Y,No,15,3,4,80,0,4,4,4,1,1,1,1
49,Yes,Travel_Rarely,1351,Research & Development,9,4,Life Sciences,1,433,1,Female,83,3,1,Manufacturing Director,2,Single,3483,8927,8,Y,Yes,15,4,4,80,0,16,2,4,1,1,1,1
53,No,Travel_Rarely,715,Research & Development,2,2,Medical,1,434,3,Female,88,4,3,Laboratory Technician,2,Single,10209,12188,1,Y,Yes,16,3,4,80,2,7,5,3,7,4,5,0
43,No,Travel_Frequently,232,Research & Development,3,5,Marketing,1,435,2,Female,88,3,2,Manufacturing Director,2,Single,6988,22792,2,Y,No,15,3,4,80,1,15,0,3,2,2,0,2
30,Yes,Non-Travel,365,Sales,12,4,Life Sciences,1,436,4,Male,51,1,2,Sales Executive,1,Divorced,3541,23568,1,Y,Yes,14,4,3,80,0,2,4,3,2,2,2,0
55,No,Travel_Rarely,935,Research & Development,15,4,Human Resources,1,437,2,Female,63,3,3,Manager,4,Married,4586,4244,9,Y,No,16,3,3,80,0,3,1,3,2,2,2,0
33,No,Travel_Frequently,282,Sales,1,5,Medical,1,438,3,Male,85,3,3,Sales Executive,1,Single,11039,8197,0,Y,No,17,3,3,80,1,1,1,3,1,1,1,1
35,No,Travel_Rarely,450,Sales,2,4,Medical,1,439,4,Female,63,2,4,Sales Executive,2,Married,13403,19361,1,Y,No,12,3,4,80,0,22,3,4,9,1,6,3
41,No,Travel_Rarely,572,Research & Development,10,2,Medical,1,440,2,Male,55,4,2,Laboratory Technician,2,Married,5283,21155,1,Y,No,17,3,3,80,0,4,2,3,3,3,3,3
52,No,Travel_Rarely,262,Research & Development,4,3,Other,1,441,4,Female,74,3,3,Research Scientist,4,Married,5594,23716,1,Y,No,20,4,3,80,2,13,3,4,6,6,3,5
45,No,Travel_Frequently,215,Human Resources,7,1,Technical Degree,1,442,4,Male,50,3,1,Manager,4,Single,3945,6069,6,Y,No,18,3,1,80,0,19,5,2,12,3,1,1
41,No,Travel_Rarely,119,Research & Development,9,3,Life Sciences,1,443,2,Male,72,3,3,Manager,4,Divorced,7338,18484,1,Y,No,19,3,2,80,3,25,3,2,1,1,1,1
42,Yes,Travel_Frequently,1229,Research & Development,13,4,Life Sciences,1,444,3,Female,68,4,4,Research Scientist,1,Single,9831,26123,6,Y,No,16,3,4,80,0,1,2,3,1,1,1,1
38,No,Travel_Rarely,1311,Sales,15,3,Medical,1,445,2,Male,42,2,2,Sales Executive,4,Married,6342,7494,1,Y,Yes,12,3,4,80,0,25,1,3,3,3,1,1
43,No,Travel_Rarely,1467,Sales,3,3,Life Sciences,1,446,4,Female,71,3,3,Sales Representative,3,Single,8002,20567,5,Y,No,12,3,3,80,0,2,2,3,1,1,0,1
18,No,Travel_Rarely,244,Human Resources,7,3,Marketing,1,447,3,Male,74,2,3,Manager,2,Married,5721,6285,2,Y,Yes,16,3,1,80,1,15,3,2,6,2,3,5
35,No,Travel_Rarely,756,Sales,1,4,Technical Degree,1,448,3,Female,80,3,1,Sales Executive,3,Married,2013,7717,1,Y,No,19,3,4,80,0,14,3,4,2,2,2,1
40,No,Travel_Rarely,1065,Research & Development,17,1,Marketing,1,449,4,Male,46,3,2,Research Scientist,4,Married,5992,4387,1,Y,Yes,25,3,4,80,1,0,2,3,0,0,0,0
27,No,Travel_Rarely,554,Research & Development,17,3,Other,1,450,2,Male,92,3,1,Research Scientist,4,Single,3265,9485,1,Y,No,19,4,3,80,0,3,4,3,0,0,0,0
41,No,Travel_Frequently,552,Sales,3,2,Life Sciences,1,451,4,Male,36,2,5,Sales Representative,4,Divorced,12893,22687,1,Y,No,11,3,3,80,0,7,1,3,1,1,1,1
36,No,Travel_Rarely,163,Research & Development,2,4,Technical Degree,1,452,4,Male,84,3,4,Laboratory Technician,4,Single,11400,6519,1,Y,No,12,3,3,80,2,6,3,3,5,2,1,2
53,No,Travel_Rarely,697,Research & Development,1,2,Marketing,1,453,4,Male,33,3,1,Healthcare Representative,2,Married,1957,13860,1,Y,No,24,3,3,80,3,28,3,2,6,5,5,5
52,No,Travel_Rarely,1041,Sales,8,4,Life Sciences,1,454,4,Male,60,3,1,Sales Executive,3,Divorced,2768,5318,1,Y,No,14,3,4,80,1,5,2,2,5,3,0,3
33,No,Travel_Rarely,1401,Research & Development,1,2,Marketing,1,455,3,Male,85,3,2,Manufacturing Director,1,Married,1009,19718,2,Y,Yes,15,3,1,80,2,30,4,3,2,2,2,0
36,No,Travel_Rarely,1420,Research & Development,10,2,Life Sciences,1,456,4,Male,33,3,1,Laboratory Technician,4,Married,1826,17942,1,Y,No,12,3,1,80,0,7,3,2,7,2,0,7
37,No,Non-Travel,1254,Research & Development,10,5,Technical Degree,1,457,2,Male,69,3,1,Healthcare Representative,1,Married,3646,16701,3,Y,No,21,3,1,80,0,37,3,2,21,9,0,0
34,No,Travel_Rarely,465,Research & Development,9,1,Medical,1,458,3,Female,76,1,2,Research Scientist,4,Married,4414,17853,9,Y,No,17,3,2,80,0,15,3,3,5,2,1,5
39,No,Travel_Rarely,1192,Research & Development,19,3,Life Sciences,1,459,1,Male,79,3,2,Healthcare Representative,2,Divorced,4301,9611,1,Y,Yes,12,3,1,80,3,19,5,2,10,1,1,0
31,Yes,Travel_Rarely,148,Research & Development,4,1,Medical,1,460,4,Male,52,4,1,Laboratory Technician,2,Single,1009,5587,2,Y,Yes,12,3,2,80,1,1,3,3,1,1,1,1
27,No,Travel_Frequently,1070,Research & Development,21,3,Medical,1,461,4,Female,80,4,3,Healthcare Representative,1,Married,9005,5684,0,Y,No,16,3,1,80,0,10,2,1,1,1,0,1
43,No,Travel_Rarely,1499,Research & Development,1,3,Life Sciences,1,462,4,Male,67,3,4,Healthcare Representative,2,Married,10823,10549,1,Y,No,15,3,2,80,0,2,2,3,2,2,1,2
43,No,Travel_Rarely,923,Sales,1,3,Life Sciences,1,463,1,Female,38,3,3,Sales Executive,4,Married,8738,9038,3,Y,No,18,4,2,80,0,4,1,3,1,1,1,0
30,No,Travel_Rarely,761,Research & Development,5,2,Medical,1,464,4,Male,90,2,4,Healthcare Representative,1,Single,7411,2411,1,Y,Yes,17,3,1,80,0,11,1,2,11,7,4,1
46,No,Travel_Rarely,863,Human Resources,8,3,Medical,1,465,4,Male,50,4,1,Human Resources,3,Married,2259,20685,1,Y,No,14,4,3,80,0,14,6,4,2,1,0,2
32,No,Travel_Rarely,1262,Research & Development,1,4,Technical Degree,1,466,3,Male,38,3,1,Manufacturing Director,1,Divorced,2080,2734,1,Y,No,13,3,3,80,0,0,2,4,0,0,0,0
40,Yes,Travel_Rarely,1220,Research & Development,8,4,Other,1,467,2,Female,54,3,1,Laboratory Technician,2,Divorced,2079,2952,4,Y,Yes,15,3,1,80,0,8,4,2,2,1,2,2
45,No,Travel_Rarely,339,Sales,3,3,Medical,1,468,3,Female,65,2,3,Sales Representative,1,Married,6576,6337,2,Y,No,13,3,3,80,0,9,1,4,7,7,5,2
37,No,Non-Travel,897,Research & Development,20,3,Marketing,1,469,1,Male,72,4,5,Research Scientist,2,Married,11981,11756,8,Y,Yes,15,4,4,80,1,1,2,3,1,1,1,0
42,No,Non-Travel,136,Human Resources,7,2,Medical,1,470,3,Male,57,3,3,Human Resources,4,Divorced,8774,17531,6,Y,No,15,3,4,80,1,8,5,2,8,7,5,5
33,No,Non-Travel,1421,Research & Development,8,2,Marketing,1,471,2,Female,93,3,4,Laboratory Technician,3,Single,7131,10337,0,Y,No,12,4,1,80,0,14,1,1,1,1,0,1
36,No,Travel_Rarely,971,Human Resources,26,2,Life Sciences,1,472,2,Male,74,3,3,Human Resources,2,Single,10166,3113,0,Y,Yes,18,3,4,80,1,1,3,3,1,1,1,0
36,No,Non-Travel,593,Research & Development,13,2,Life Sciences,1,473,1,Male,85,3,2,Manufacturing Director,3,Married,5726,26378,1,Y,No,14,3,2,80,0,16,5,3,13,7,3,4
31,Yes,Travel_Frequently,359,Sales,5,2,Medical,1,474,2,Female,77,3,2,Sales Representative,1,Divorced,4937,13908,2,Y,No,12,4,1,80,0,9,5,3,8,0,5,3
36,No,Travel_Rarely,488,Research & Development,6,3,Life Sciences,1,475,1,Female,37,4,1,Manufacturing Director,2,Divorced,3860,14629,2,Y,Yes,14,4,2,80,2,20,4,3,0,0,0,0
24,No,Travel_Rarely,371,Human Resources,9,3,Marketing,1,476,4,Male,43,4,1,Human Resources,3,Married,1009,18470,0,Y,No,16,3,2,80,0,3,4,3,2,1,2,0
33,No,Travel_Rarely,968,Research & Development,2,5,Technical Degree,1,477,3,Female,44,3,3,Research Scientist,2,Single,6503,12198,0,Y,No,16,3,3,80,0,20,3,3,14,6,1,5
35,No,Travel_Frequently,1449,Research & Development,1,2,Life Sciences,1,478,3,Female,68,3,2,Laboratory Technician,3,Married,4818,10573,0,Y,No,17,3,3,80,3,1,2,3,1,1,1,0
35,No,Travel_Rarely,1172,Human Resources,3,3,Medical,1,479,3,Male,54,3,2,Human Resources,3,Single,7048,7467,5,Y,No,19,3,4,80,0,6,3,4,1,1,1,1
35,No,Travel_Rarely,707,Research & Development,14,4,Technical Degree,1,480,3,Male,92,3,2,Research Scientist,4,Single,4930,15328,7,Y,No,20,3,2,80,0,2,6,2,2,1,1,2
